action_resource_type_id,action_id,resource_type_id,required_flag,dependent_actions
15524,10799,1069,true,[ec2:CreateTags]
15525,10800,1074,true,[]
15526,10800,1130,true,[]
15527,10800,1113,false,[]
15528,10800,1978,false,[]
15529,10800,1107,false,[]
15530,10801,1084,true,[ec2:CreateTags]
15531,10801,1978,false,[]
15532,10802,1071,true,[ec2:CreateTags]
15533,10802,1109,true,[]
15534,10802,1978,false,[]
15535,10803,1130,true,[]
15536,10803,1978,false,[]
15537,10804,1978,false,[]
15538,10805,1978,false,[]
15539,10806,1978,false,[]
15540,10807,1109,true,[]
15541,10807,1978,false,[]
15542,10808,1052,true,[]
15543,10808,1978,false,[]
15544,10809,1978,false,[]
15545,10810,1054,true,[]
15546,10810,1978,false,[]
15547,10811,1053,true,[ec2:ModifyCapacityReservation]
15548,10811,1978,false,[]
15549,10812,1136,false,[]
15550,10812,1978,false,[]
15551,10812,1057,true,[]
15552,10812,1107,false,[]
15553,10813,1978,false,[]
15554,10814,1978,false,[]
15555,10815,1066,true,[]
15556,10815,1085,false,[]
15557,10815,1113,false,[]
15558,10815,1978,false,[]
15559,10815,1069,false,[]
15560,10816,1067,true,[]
15561,10816,1978,false,[]
15562,10817,1059,true,[]
15563,10817,1978,false,[]
15564,10818,1978,false,[]
15565,10819,1978,false,[]
15566,10820,1978,false,[]
15567,10820,1069,true,[]
15568,10821,1074,true,[]
15569,10821,1130,false,[]
15570,10821,1978,false,[]
15571,10821,1107,false,[]
15572,10822,1074,true,[]
15573,10822,1054,false,[]
15574,10822,1978,false,[]
15575,10823,1074,true,[]
15576,10823,1978,false,[]
15577,10824,1074,true,[]
15578,10824,1978,false,[]
15579,10825,1978,false,[]
15580,10825,1073,true,[]
15581,10826,1074,true,[]
15582,10826,1978,false,[]
15583,10827,1978,false,[]
15584,10828,1074,true,[]
15585,10828,1978,false,[]
15586,10829,1074,true,[]
15587,10829,1059,false,[]
15588,10829,1100,false,[]
15589,10829,1978,false,[]
15590,10830,1076,true,[]
15591,10830,1978,false,[]
15592,10831,1077,true,[]
15593,10831,1978,false,[]
15594,10832,1080,true,[]
15595,10832,1978,false,[]
15596,10833,1079,true,[]
15597,10833,1978,false,[]
15598,10834,1080,true,[]
15599,10834,1978,false,[]
15600,10835,1085,true,[]
15601,10835,1978,false,[]
15602,10836,1090,true,[]
15603,10836,1091,false,[]
15604,10836,1099,false,[]
15605,10836,1101,false,[]
15606,10836,1978,false,[]
15607,10837,1101,true,[]
15608,10837,1978,false,[]
15609,10838,1099,true,[]
15610,10838,1074,false,[]
15611,10838,1978,false,[]
15612,10838,1107,false,[]
15613,10839,1074,true,[]
15614,10839,1978,false,[]
15615,10840,1103,true,[]
15616,10840,1978,false,[]
15617,10841,1108,true,[]
15618,10841,1101,false,[]
15619,10841,1978,false,[]
15620,10841,1107,true,[]
15621,10842,1109,true,[]
15622,10842,1978,false,[]
15623,10843,1109,true,[]
15624,10843,1978,false,[]
15625,10844,1110,true,[]
15626,10844,1085,false,[]
15627,10844,1113,false,[]
15628,10844,1978,false,[]
15629,10845,1113,true,[]
