action_dependent_action_id,action_resource_type_id,action_id,dependent_action_id
1464,16210,11159,11098
1465,16210,11159,11102
1466,16210,11159,11105
1467,16265,11200,11263
1468,13920,9601,9651
1469,12829,9053,9038
1470,21293,14760,9023
1471,21293,14760,9430
1472,21299,14766,14776
1473,20660,14247,14250
1474,21302,14769,14779
1475,20740,14319,13379
1476,157,95,35
1477,685,458,9032
1478,685,458,9201
1479,685,458,9414
1480,685,458,9496
1481,685,458,9525
1482,685,458,435
1483,687,459,429
1484,688,460,9427
1485,690,462,9009
1486,690,462,9058
1487,690,462,9110
1488,690,462,9257
1489,690,462,9281
1490,931,647,3506
1491,1206,847,13357
1492,1880,1432,1437
1493,1983,1526,5153
1494,2645,1990,9022
1495,2866,2132,9022
1496,3032,2256,4407
1497,3053,2277,13357
1498,1174,823,3506
1499,1887,1439,9201
1500,2877,2143,9109
1501,3021,2249,942
1502,3021,2249,9257
1503,3021,2249,9293
1504,2174,1675,1652
1505,3119,2320,9201
1506,3119,2320,9281
1507,9826,7153,3406
1508,10131,7355,13362
1509,10393,7552,7450
1510,11859,8550,3393
1511,12256,8814,13646
1512,12264,8822,9155
1513,12264,8822,4407
1514,12264,8822,9293
1515,12279,8830,9245
1516,8521,6187,7948
1517,9833,7158,10105
1518,10389,7549,7949
1519,11479,8396,8588
1520,11479,8396,10109
1521,11479,8396,12263
1522,12266,8823,9155
1523,11478,8395,3393
1524,11608,8452,3509
1525,12263,8821,3406
1526,12263,8821,4414
1527,11029,8079,1266
1528,11029,8079,10110
1529,16955,11696,9291
1530,16955,11696,9293
1531,16955,11696,3393
1532,17002,11739,13379
1533,17070,11800,9022
1534,17244,11903,9101
1535,17247,11905,2189
1536,17852,12390,3506
1537,17853,12391,12426
1538,18279,12679,12681
1539,18287,12681,4414
1540,18287,12681,12685
1541,18297,12683,12669
1542,18333,12697,12699
1543,18507,12798,3506
1544,18969,13141,9293
1545,19173,13303,9293
1546,19854,13710,3506
1547,19856,13711,3506
1548,19861,13713,13691
1549,19868,13717,13691
1550,19928,13750,13691
1551,20295,14007,3506
1552,20361,14049,2935
1553,20361,14049,4414
1554,20362,14050,2843
1555,20362,14050,2854
1556,20362,14050,2985
1557,20362,14050,3460
1558,20362,14050,4488
1559,20366,14054,5505
1560,20373,14061,10074
1561,20373,14061,10089
1562,20373,14061,10112
1563,20373,14061,3460
1564,20373,14061,3422
1565,20374,14062,13675
1566,20374,14062,13677
1567,20388,14076,13325
1568,20388,14076,13675
1569,17075,11802,11832
1570,10584,7688,7729
1571,11534,8416,2152
1572,10194,7405,7981
1573,8861,6544,3506
1574,18529,12810,12769
1575,19148,13278,9293
1576,19916,13744,13691
1577,20363,14051,13686
1578,16958,11699,9291
1579,18490,12795,3506
1580,19883,13725,13691
1581,18429,12765,12769
1582,18269,12674,12669
1583,20385,14073,4407
1584,7688,5554,13082
1585,13923,9602,9620
1586,13927,9604,9617
1587,14210,9748,9101
1588,16178,11129,11139
1589,13991,9650,9621
1590,16256,11193,13125
1591,12595,9000,9038
1592,12380,8902,9293
1593,12380,8902,8903
1594,21234,14717,4407
1595,4984,3629,3724
1596,5290,3838,3506
1597,6245,4478,4479
1598,6447,4657,3406
1599,7684,5550,947
1600,12287,8833,4407
1601,12354,8884,8882
1602,12642,9017,9038
1603,12846,9057,9038
1604,13929,9605,9617
1605,14085,9696,13379
1606,20662,14249,14250
1607,20680,14265,14250
1608,21300,14767,14772
1609,21312,14779,14772
1610,21304,14771,14781
1611,21317,14784,14772
1612,685,458,9210
1613,685,458,9521
1614,1839,1405,1401
1615,1996,1538,948
1616,2645,1990,9257
1617,3021,2249,9427
1618,3021,2249,9211
1619,3145,2334,9355
1620,3145,2334,9245
1621,3145,2334,4407
1622,3106,2314,947
1623,9826,7153,3393
1624,10248,7442,13357
1625,11859,8550,2152
1626,12279,8830,3406
1627,9833,7158,10112
1628,11479,8396,2152
1629,11870,8554,13380
1630,12263,8821,9293
1631,17175,11849,3406
1632,17237,11898,3506
1633,19908,13738,13691
1634,20366,14054,3509
1635,20366,14054,5522
1636,20374,14062,3460
1637,20387,14075,3424
1638,20388,14076,13400
1639,17001,11738,3509
1640,18302,12685,3506
1641,18442,12771,3506
1642,18490,12795,12685
1643,17122,11827,9257
1644,7347,5321,1407
1645,8236,5972,3473
1646,12800,9043,9038
1647,12653,9021,9038
1648,20653,14242,14250
1649,4363,3153,3404
1650,4452,3219,2152
1651,4986,3630,3724
