resource_type_id,service_id,name,reference_url,arn_pattern
1100,278,document-classification-job,https://docs.aws.amazon.com/comprehend/latest/APIReference/API_StartDocumentClassificationJob.html,arn:${Partition}:comprehend:${Region}:${Account}:document-classification-job/${JobId}
1101,278,flywheel,https://docs.aws.amazon.com/comprehend/latest/APIReference/API_CreateFlywheel.html,arn:${Partition}:comprehend:${Region}:${Account}:flywheel/${FlywheelName}
1102,278,flywheel-dataset,https://docs.aws.amazon.com/comprehend/latest/APIReference/API_CreateDataset.html,arn:${Partition}:comprehend:${Region}:${Account}:flywheel/${FlywheelName}/dataset/${DatasetName}
1103,280,instance,https://docs.aws.amazon.com/connect/latest/adminguide/amazon-connect-instances.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}
1104,280,contact,https://docs.aws.amazon.com/connect/latest/adminguide/connect-contact-attributes.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/contact/${ContactId}
1105,280,user,https://docs.aws.amazon.com/connect/latest/adminguide/connect-agents.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/agent/${UserId}
1106,280,routing-profile,https://docs.aws.amazon.com/connect/latest/adminguide/routing-profiles.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/routing-profile/${RoutingProfileId}
1107,280,security-profile,https://docs.aws.amazon.com/connect/latest/adminguide/connect-security-profiles.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/security-profile/${SecurityProfileId}
1108,280,authentication-profile,https://docs.aws.amazon.com/connect/latest/adminguide/connect-authentication-profiles.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/authentication-profile/${AuthenticationProfileId}
1109,280,hierarchy-group,https://docs.aws.amazon.com/connect/latest/adminguide/agent-hierarchy.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/agent-group/${HierarchyGroupId}
1110,280,queue,https://docs.aws.amazon.com/connect/latest/adminguide/create-queue.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/queue/${QueueId}
1111,280,wildcard-queue,https://docs.aws.amazon.com/connect/latest/adminguide/create-queue.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/queue/*
1112,280,quick-connect,https://docs.aws.amazon.com/connect/latest/adminguide/quick-connects.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/transfer-destination/${QuickConnectId}
1113,280,wildcard-quick-connect,https://docs.aws.amazon.com/connect/latest/adminguide/quick-connects.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/transfer-destination/*
1114,280,contact-flow,https://docs.aws.amazon.com/connect/latest/adminguide/connect-contact-flows.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/contact-flow/${ContactFlowId}
1115,280,task-template,https://docs.aws.amazon.com/connect/latest/adminguide/task-templates.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/task-template/${TaskTemplateId}
1116,280,contact-flow-module,https://docs.aws.amazon.com/connect/latest/adminguide/contact-flow-modules.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/flow-module/${ContactFlowModuleId}
1117,280,wildcard-contact-flow,https://docs.aws.amazon.com/connect/latest/adminguide/connect-contact-flows.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/contact-flow/*
1118,280,hours-of-operation,https://docs.aws.amazon.com/connect/latest/adminguide/set-hours-operation.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/operating-hours/${HoursOfOperationId}
1119,280,agent-status,https://docs.aws.amazon.com/connect/latest/adminguide/metrics-agent-status.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/agent-state/${AgentStatusId}
1120,280,wildcard-agent-status,https://docs.aws.amazon.com/connect/latest/adminguide/metrics-agent-status.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/agent-state/*
1121,280,legacy-phone-number,https://docs.aws.amazon.com/connect/latest/adminguide/ag-overview-numbers.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/phone-number/${PhoneNumberId}
1122,280,wildcard-legacy-phone-number,https://docs.aws.amazon.com/connect/latest/adminguide/ag-overview-numbers.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/phone-number/*
1123,280,phone-number,https://docs.aws.amazon.com/connect/latest/adminguide/ag-overview-numbers.html,arn:${Partition}:connect:${Region}:${Account}:phone-number/${PhoneNumberId}
1124,280,wildcard-phone-number,https://docs.aws.amazon.com/connect/latest/adminguide/ag-overview-numbers.html,arn:${Partition}:connect:${Region}:${Account}:phone-number/*
1125,280,integration-association,https://docs.aws.amazon.com/connect/latest/adminguide/connect-rules.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/integration-association/${IntegrationAssociationId}
1126,280,use-case,https://docs.aws.amazon.com/connect/latest/adminguide/add-rules-task-creation.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/use-case/${UseCaseId}
1127,280,vocabulary,https://docs.aws.amazon.com/connect/latest/adminguide/add-custom-vocabulary.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/vocabulary/${VocabularyId}
