action_condition_key_id,action_resource_type_id,action_id,condition_key_id
11606,30959,20770,1094
11607,20089,13560,1094
11608,30993,20791,1093
11609,31018,20811,1094
11610,31084,20870,467
11611,31118,20894,1093
11612,31119,20895,1093
11613,31217,20965,1094
11614,31228,20971,1094
11615,31232,20972,1095
11616,31290,21024,1094
11617,31296,21030,1094
11618,31326,21058,1094
11619,31347,21076,1095
11620,20089,13560,249
11621,20140,13585,277
11622,20144,13587,1094
11623,20144,13587,249
11624,31360,21084,793
11625,20174,13601,1094
11626,31405,21121,1095
11627,20174,13601,249
11628,20198,13603,1093
11629,20204,13603,1094
11630,20204,13603,249
11631,20209,13603,1095
11632,31439,21148,1093
11633,20217,13603,1095
11634,20721,13903,88
11635,20827,13963,303
11636,20890,13995,278
11637,20912,14005,79
11638,20924,14010,79
11639,20971,14029,79
11640,21005,14042,79
11641,21020,14046,79
11642,21021,14047,79
11643,21024,14048,79
11644,21057,14063,79
11645,21102,14085,258
11646,21102,14085,264
11647,20218,13603,1094
11648,21193,14120,258
11649,20218,13603,249
11650,20221,13603,1095
11651,21197,14122,88
11652,20227,13603,1094
11653,22247,14871,1220
11654,20227,13603,249
11655,24232,16287,1233
11656,20235,13603,1095
11657,20242,13603,1095
11658,20256,13603,1094
11659,20256,13603,249
11660,20258,13603,1093
11661,26584,17920,865
11662,20259,13603,1094
11663,26634,17957,865
11664,20259,13603,249
11665,20260,13603,1093
11666,20263,13603,1095
11667,20274,13603,1093
11668,20275,13603,1095
11669,20302,13615,305
11670,20306,13616,1094
11671,20306,13616,249
11672,20306,13616,307
11673,20361,13644,277
11674,20363,13644,304
11675,20413,13686,222
11676,20505,13775,273
11677,20576,13835,165
11678,28282,19036,1195
11679,20576,13835,234
11680,20576,13835,268
11681,20584,13838,272
11682,20584,13838,273
11683,20617,13857,1094
11684,20617,13857,249
11685,20624,13859,1094
11686,20624,13859,249
11687,20631,13862,1094
11688,20631,13862,93
11689,20631,13862,249
11690,20631,13862,262
11691,20648,13869,239
11692,20653,13871,1094
11693,20653,13871,249
11694,20661,13872,277
11695,20663,13873,266
11696,20666,13874,277
11697,20671,13876,1094
11698,20671,13876,249
11699,20715,13900,101
11700,20770,13934,1094
11701,20770,13934,249
11702,20775,13936,1094
11703,20775,13936,249
11704,28483,19124,118
11705,20783,13940,1094
11706,28483,19124,1208
11707,28617,19213,1064
11708,28633,19221,1064
11709,28643,19226,1064
11710,28657,19233,1064
11711,28807,19315,1175
11712,28823,19324,1175
11713,29174,19537,384
11714,30303,20265,923
11715,20623,13858,241
11716,20627,13860,241
11717,20678,13879,241
11718,20683,13883,241
11719,20710,13898,241
11720,20783,13940,249
11721,20714,13899,241
11722,20723,13904,256
11723,20764,13930,241
11724,20771,13934,241
11725,20793,13945,241
11726,20852,13977,241
11727,20870,13983,260
11728,20873,13984,241
11729,20889,13995,256
11730,20799,13948,195
11731,20891,13995,241
11732,20906,14003,241
11733,20942,14018,241
11734,21013,14044,241
11735,21053,14061,287
11736,21055,14062,287
11737,21063,14066,241
11738,21115,14090,241
11739,21132,14098,241
11740,21246,14138,241
11741,21266,14149,241
11742,22393,14997,1232
11743,28524,19144,344
11744,28941,19406,572
11745,20833,13966,305
11746,20841,13971,1094
11747,20841,13971,249
11748,20856,13979,1094
11749,20856,13979,87
11750,20856,13979,89
11751,20856,13979,97
11752,20856,13979,249
11753,20856,13979,254
11754,29174,19537,386
11755,20866,13981,266
11756,28501,19132,346
11757,20911,14004,1094
11758,28509,19136,346
11759,28876,19352,1177
11760,29174,19537,387
11761,28501,19132,347
11762,28509,19136,347
11763,20911,14004,249
11764,20913,14005,1094
11765,20915,14006,78
11766,20920,14008,165
11767,20920,14008,234
11768,20920,14008,268
11769,20933,14015,1094
11770,20933,14015,164
11771,20933,14015,170
11772,20933,14015,249
11773,20933,14015,251
11774,20943,14018,1094
11775,20943,14018,249
11776,20957,14025,1094
11777,20957,14025,249
11778,20975,14031,78
11779,20975,14031,84
11780,20975,14031,182
11781,20989,14036,213
11782,21009,14043,1094
11783,21009,14043,249
11784,21015,14045,1094
11785,21015,14045,249
11786,21030,14051,78
11787,21047,14058,84
11788,21047,14058,85
11789,21064,14066,78
11790,21087,14077,1094
11791,21087,14077,249
11792,21109,14088,84
11793,21109,14088,213
11794,21137,14101,277
11795,21141,14103,277
11796,21143,14103,1094
11797,21143,14103,249
11798,21147,14103,84
11799,21147,14103,85
11800,21153,14106,85
11801,21156,14107,208
11802,21156,14107,209
11803,21165,14108,208
11804,21165,14108,209
11805,21170,14108,1094
11806,21170,14108,249
11807,21174,14109,239
11808,21182,14114,277
11809,21189,14118,1094
11810,21189,14118,249
11811,21210,14125,235
11812,21212,14125,1094
11813,21212,14125,199
11814,21212,14125,249
11815,21213,14125,84
11816,21213,14125,85
11817,21213,14125,213
11818,21213,14125,223
11819,21215,14125,277
11820,21224,14128,304
11821,21227,14130,1094
11822,21227,14130,164
11823,21227,14130,170
11824,21227,14130,249
11825,21227,14130,251
11826,21232,14133,84
11827,21232,14133,85
11828,21232,14133,91
11829,21232,14133,168
11830,21232,14133,182
11831,21232,14133,213
11832,21232,14133,217
11833,21239,14135,1094
11834,21239,14135,249
11835,21241,14136,1094
11836,21241,14136,249
11837,21247,14139,99
11838,21247,14139,167
11839,21247,14139,181
11840,21247,14139,214
11841,21247,14139,216
11842,21247,14139,237
11843,21251,14141,1094
11844,21251,14141,249
11845,21260,14146,1094
11846,21260,14146,93
11847,21260,14146,184
11848,21260,14146,194
11849,21260,14146,198
11850,21260,14146,249
11851,21260,14146,262
11852,21272,14153,1094
11853,21274,14154,1080
11854,21320,14194,1080
11855,21322,14195,1094
11856,21326,14199,1094
11857,21333,14206,1080
11858,21336,14208,1094
11859,21361,14225,1093
11860,21362,14226,1095
11861,21362,14226,154
11862,21467,14293,154
11863,21472,14295,72
11864,21510,14325,1093
11865,21515,14327,1095
11866,21558,14354,1093
11867,21565,14361,1095
11868,21567,14363,1095
11869,21568,14364,1094
11870,21575,14371,1095
11871,21579,14376,664
11872,21593,14395,1094
11873,21609,14416,662
11874,21617,14426,664
11875,21620,14429,1094
11876,21633,14436,1093
11877,21633,14436,67
11878,21633,14436,68
11879,21727,14521,1093
11880,21727,14521,624
11881,21731,14523,515
11882,21731,14523,518
11883,21733,14524,1095
11884,21733,14524,629
11885,21733,14524,632
11886,21733,14524,633
11887,21733,14524,634
11888,21764,14544,1094
11889,21768,14547,628
11890,21783,14555,1094
11891,21793,14565,625
11892,21817,14576,1093
11893,21818,14577,626
11894,21825,14580,1094
11895,21825,14580,518
11896,21866,14595,327
11897,21923,14635,1095
11898,21933,14641,1095
11899,21940,14644,1095
11900,22060,14717,1095
11901,22060,14717,1202
11902,22181,14826,1095
11903,22227,14856,1213
11904,22310,14902,1094
11905,22328,14913,1093
11906,22370,14952,1095
11907,22373,14955,1093
11908,22374,14956,1095
11909,22379,14966,1095
11910,22399,15001,1095
11911,22413,15008,1093
11912,22500,15063,1095
11913,22508,15067,1093
11914,22642,15128,1093
11915,22732,15181,1095
11916,22746,15188,1095
11917,22788,15197,1093
11918,22795,15202,1095
11919,22796,15203,1093
11920,23007,15361,1095
11921,23039,15390,1093
11922,23281,15601,1093
11923,23327,15629,1093
11924,23401,15682,1095
11925,23460,15708,1095
11926,23481,15722,1095
11927,23483,15723,1093
11928,23488,15726,1095
11929,23663,15831,1095
11930,23687,15854,1095
11931,23692,15858,1093
11932,23701,15866,1094
11933,23724,15886,1094
11934,23751,15907,1093
11935,24032,16134,1093
11936,24048,16146,1093
11937,24213,16272,1095
11938,24350,16365,1095
11939,24377,16384,1093
11940,24490,16463,1095
11941,24649,16587,1095
11942,24657,16592,1093
11943,24668,16601,1093
11944,24674,16604,1095
11945,24783,16680,1094
11946,24827,16702,1094
11947,24837,16707,1094
11948,24865,16720,1094
11949,24888,16728,1094
11950,24902,16736,1095
11951,24989,16807,1094
11952,25001,16815,1094
11953,25054,16866,787
11954,25059,16871,1094
11955,25082,16896,1095
11956,25130,16941,794
11957,25166,16971,1093
11958,25166,16971,795
11959,25181,16977,1094
11960,25205,16992,1094
11961,25222,16999,1094
11962,25284,17039,806
11963,25367,17085,1094
11964,25390,17096,1095
11965,25432,17131,1095
11966,25628,17308,1093
11967,25648,17316,1095
11968,25779,17398,1095
11969,25782,17400,1093
11970,25875,17485,1093
11971,25881,17486,1093
11972,25894,17496,1093
11973,25908,17505,1095
11974,25935,17523,1094
11975,25941,17526,570
11976,25943,17528,1094
11977,25981,17550,570
11978,25981,17550,573
11979,25989,17552,570
11980,25989,17552,1095
11981,26096,17637,1095
11982,26284,17731,848
11983,26296,17736,846
11984,26302,17739,848
11985,26317,17749,848
11986,26361,17775,1095
11987,26373,17781,1095
11988,26413,17809,996
11989,26451,17841,1032
11990,26519,17880,850
11991,26521,17881,850
11992,26537,17891,1095
11993,26588,17922,1095
11994,26601,17931,1093
11995,26723,18036,1093
11996,26775,18076,1093
11997,26890,18134,1095
11998,26936,18172,1095
11999,26989,18201,1095
12000,26989,18201,1004
12001,27003,18208,1093
12002,27015,18212,1094
12003,27015,18212,998
12004,27015,18212,885
12005,27050,18222,1093
12006,27203,18314,884
12007,27203,18314,893
12008,27373,18394,1093
12009,27478,18460,1094
12010,27522,18489,1025
12011,27777,18693,1095
12012,27795,18708,1046
12013,27904,18810,1093
12014,27904,18810,1053
12015,27937,18835,1095
12016,27964,18854,1095
12017,28033,18900,1093
12018,28124,18960,1190
12019,28124,18960,123
12020,28124,18960,121
12021,28124,18960,122
12022,28124,18960,175
12023,28129,18962,123
12024,28129,18962,121
12025,28129,18962,122
12026,28129,18962,175
12027,28129,18962,178
12028,28129,18962,180
12029,28131,18963,162
12030,28131,18963,1095
12031,28133,18964,162
12032,28133,18964,1095
12033,28143,18969,160
12034,28155,18976,160
12035,28155,18976,1094
12036,28191,18992,123
12037,28191,18992,121
12038,28191,18992,122
12039,28191,18992,175
12040,28225,19010,162
12041,28235,19014,160
12042,28238,19015,123
12043,28238,19015,121
12044,28238,19015,122
12045,28238,19015,175
12046,28240,19016,160
12047,28264,19027,162
12048,28270,19030,123
12049,28270,19030,121
12050,28270,19030,122
12051,28270,19030,175
12052,28322,19051,162
12053,28336,19058,162
12054,28368,19074,162
12055,28396,19089,160
12056,28408,19095,162
12057,28420,19101,160
12058,28430,19105,160
12059,28430,19105,179
12060,28439,19108,123
12061,28439,19108,121
12062,28439,19108,122
12063,28439,19108,175
12064,28454,19115,188
12065,28459,19117,123
12066,28459,19117,121
12067,28459,19117,122
12068,28459,19117,175
12069,28461,19118,1196
12070,28461,19118,162
12071,28477,19121,162
12072,28481,19123,162
12073,28494,19129,342
12074,28499,19131,193
12075,28511,19137,203
12076,28511,19137,204
12077,28519,19141,342
12078,28530,19147,342
12079,28532,19148,203
12080,28532,19148,204
12081,28536,19150,342
12082,28545,19154,1095
12083,28548,19155,1095
12084,28619,19214,1063
12085,28649,19229,1063
12086,28709,19265,356
12087,28715,19268,357
12088,28738,19282,353
12089,28740,19283,356
12090,28809,19316,1163
12091,28809,19316,1083
12092,28811,19317,1178
12093,28818,19321,1163
12094,28818,19321,1083
12095,28841,19333,1163
12096,28841,19333,1083
12097,28861,19344,1178
12098,28889,19359,570
12099,28896,19366,570
12100,28899,19369,570
12101,28910,19380,570
12102,28947,19408,574
12103,28953,19411,570
12104,28970,19428,570
12105,29080,19493,1095
12106,29122,19514,1095
12107,29122,19514,403
12108,29122,19514,419
12109,29128,19516,1095
12110,29128,19516,391
12111,29140,19521,1095
12112,29161,19531,381
12113,29170,19535,1093
12114,29198,19550,1093
12115,29204,19553,1095
12116,29204,19553,368
12117,29208,19555,394
12118,29240,19573,420
12119,29240,19573,393
12120,29262,19586,413
12121,29665,19844,1095
12122,29778,19938,1094
12123,29785,19941,1094
12124,29787,19942,1094
12125,29828,19969,1094
12126,29844,19985,1094
12127,29918,20050,1095
12128,29924,20054,577
12129,29928,20056,1094
12130,29934,20060,1094
12131,29936,20062,1094
12132,30005,20108,1094
12133,30020,20114,1093
12134,30077,20142,1094
12135,30082,20145,1094
12136,30088,20148,1094
12137,30089,20149,570
12138,30102,20157,571
12139,30115,20164,570
12140,30137,20179,570
12141,30160,20189,570
12142,30174,20196,570
12143,30187,20203,1094
12144,30197,20207,578
12145,30222,20212,570
12146,30222,20212,1095
12147,30250,20227,918
12148,30275,20243,920
12149,30286,20251,1093
12150,30305,20266,1093
12151,30405,20347,1093
12152,30421,20359,1094
12153,30438,20366,1093
12154,30439,20367,1094
12155,30472,20400,958
12156,30472,20400,1095
12157,30531,20441,1093
12158,30531,20441,979
12159,30601,20474,1094
12160,30645,20500,1095
